Rajeev Alur
Domagoj Babi&cacute;
Christel Baier
Roderick Bloem
Ahmed Bouajjani
Alessandro Cimatti
Javier Esparza
Azadeh Farzan
Martin Fr&auml;nzle
Ganesh Gopalakrishnan
Mike Gordon
Orna Grumberg
Ziyad Hanna
Holger Hermanns
Alan Hu
Kevin Jones
Vineet Kahlon
Jean Krivine
Daniel Kroening
Sava Krsti&cacute;
Marta Kwiatkowska
Oded Maler
Kenneth McMillan
David Monniaux
Markus M&uuml;ller-Olm
Kedar Namjoshi
Doron Peled
Shaz Qadeer
Jean-Fran&ccedil;ois Raskin
Natasha Sharygina
Helmut Veith
Kwangkeun Yi
Karen Yorav
Greta Yorsh
