Aws Albarghouthi
Christel Baier
Per Bjesse
Jasmin Blanchette
Sergiy Bogomolov
Ahmed Bouajjani
Rohit Chadha
Bor-Yuh Evan Chang
Swarat Chaudhuri
Wei-Ngan Chin
Hana Chockler
Alessandro Cimatti
Isil Dillig
Dino Distefano
Michael Emmi
Javier Esparza
Georgios Fainekos
Azadeh Farzan
Aarti Gupta
Gerard Holzmann
Marieke Huisman
Radu Iosif
Franjo Ivan&ccaron;i&cacute;
Stefan Kiefer
Zachary Kincaid
Barbara K&ouml;nig
Daniel Kroening
Rustan Leino
Kenneth McMillan
Alexander Nadel
Madhusudan Parthasarathy
Corina Pasareanu
Nadia Polikarpova
Pavithra Prabhakar
Arjun Radhakrishna
Zvonimir Rakamaric
Andrey Rybalchenko
Roopsha Samanta
Rahul Sharma
Anna Slobodova
Ana Sokolova
Zhendong Su
Serdar Tasiran
Emina Torlak
Willem Visser
Mahesh Viswanathan
Yakir Vizel
Tomas Vojnar
Thomas Wahl
Bow-Yaw Wang
Georg Weissenbacher
Verena Wolf
Lenore Zuck
Damien Zufferey
