Erika Abraham
June Andronick
Timos Antonopoulos
Armin Biere
Per Bjesse
Jasmin Christian Blanchette
Roderick Bloem
Gianpiero Cabodi
Supratik Chakraborty
Sylvain Conchon
Vijay D'Silva
Rayna Dimitrova
Malay Ganai
Alberto Griggio
Liana Hadarean
Joe Hendrix
Marijn Heule
Warren A. Hunt, Jr.
Alexander Ivrii
George Karpenkov
Panagiotis Manolios
Ken McMillan
Rajdeep Mukherjee
Alexander Nadel
Corina Pasareanu
Sandip Ray
Giles Reger
Anna Slobodova
Armando Solar-Lezama
Daryl Stewart
Christoph Sticksel
Niklas Sörensson
Chao Wang
Georg Weissenbacher
Zhenkun Yang
Lenore Zuck
