Aws Albarghouthi
Jade Alglave
Christel Baier
Gogul Balakrishnan
Sorav Bansal
Gilles Barthe
Josh Berdine
Per Bjesse
Sam Blackshear
Roderick Bloem
Borzoo Bonakdarpour
Ahmed Bouajjani
Tevfik Bultan
Pavol Cerny
Sagar Chaki
Swarat Chaudhuri
Hana Chockler
Maria Christakis
Eva Darulova
Cristina David
Ankush Desai
Jyotirmoy Deshmukh
Cezara Drăgoi
Kerstin Eder
Michael Emmi
Constantin Enea
Lu Feng
Yu Feng
Bernd Finkbeiner
Dana Fisman
Daniel J. Fremont
Malay Ganai
Ganesh Gopalakrishnan
Orna Grumberg
Arie Gurfinkel
Alan J. Hu 
Laura Humphrey
Franjo Ivancic
Joxan Jaffar
Dejan Jovanović
Zachary Kincaid
Laura Kovacs
Daniel Kroening
Ori Lahav
Akash Lal
Anthony Lin
Yang Liu
Francesco Logozzo
Ruben Martins
Anastasia Mavridou
Jedidiah McClurg
Kenneth McMillan
Kuldeep S. Meel
Sayan Mitra
Ruzica Piskac
Xiaokang Qiu
Mukund Raghothaman
Jan Reineke
Kristin Yvonne Rozier
Philipp Ruemmer
Krishna S
Sriram Sankaranarayanan
Natarajan Shankar
Natasha Sharygina
Sharon Shoham
Alexandra Silva
Anna Slobodova
Fabio Somenzi
Fu Song
Aditya Thakur
Ashish Tiwari
Aaron Tomb
Ashutosh Trivedi
Caterina Urban
Niki Vazou
Margus Veanes
Yakir Vizel
Xinyu Wang
Georg Weissenbacher
Fei Xie
Jin Yang
Naijun Zhan
He Zhu
